"Month Day, Year"	"Month Day, Year Code"	"Avg Daily Max Air Temperature (F)"	"Avg Daily Min Air Temperature (F)"
	"Feb 08, 2010"	"2010/02/08"	30.500	8.600
	"Feb 09, 2010"	"2010/02/09"	31.700	11.300
	"Feb 10, 2010"	"2010/02/10"	29.300	24.700
	"Feb 11, 2010"	"2010/02/11"	32.400	19.300
	"Feb 12, 2010"	"2010/02/12"	31.700	13.300
	"Feb 13, 2010"	"2010/02/13"	30.600	19.500
	"Feb 14, 2010"	"2010/02/14"	33.100	16.000
	"Feb 15, 2010"	"2010/02/15"	34.100	15.900
	"Feb 16, 2010"	"2010/02/16"	31.700	21.700
	"Feb 17, 2010"	"2010/02/17"	32.300	19.400
	"Feb 18, 2010"	"2010/02/18"	37.300	25.500
	"Feb 19, 2010"	"2010/02/19"	39.400	25.700
	"Feb 20, 2010"	"2010/02/20"	38.800	22.500
	"Feb 21, 2010"	"2010/02/21"	44.200	24.300
	"Feb 22, 2010"	"2010/02/22"	43.400	32.400
	"Feb 23, 2010"	"2010/02/23"	47.200	33.000
	"Feb 24, 2010"	"2010/02/24"	42.400	31.400
	"Feb 25, 2010"	"2010/02/25"	38.900	26.800
	"Feb 26, 2010"	"2010/02/26"	37.500	25.800
	"Feb 27, 2010"	"2010/02/27"	40.700	28.700
	"Feb 28, 2010"	"2010/02/28"	41.500	31.800
	"Mar 01, 2010"	"2010/03/01"	46.400	30.500
	"Mar 02, 2010"	"2010/03/02"	44.100	31.200
	"Mar 03, 2010"	"2010/03/03"	41.900	35.300
	"Mar 04, 2010"	"2010/03/04"	43.600	32.400
	"Mar 05, 2010"	"2010/03/05"	45.500	31.000
	"Mar 06, 2010"	"2010/03/06"	49.500	27.300
	"Mar 07, 2010"	"2010/03/07"	55.000	31.000
	"Mar 08, 2010"	"2010/03/08"	57.300	31.700
	"Mar 09, 2010"	"2010/03/09"	60.900	32.700
	"Mar 10, 2010"	"2010/03/10"	62.200	36.600
	"Mar 11, 2010"	"2010/03/11"	58.000	43.100
	"Mar 12, 2010"	"2010/03/12"	52.000	47.200
	"Mar 13, 2010"	"2010/03/13"	47.800	42.000
	"Mar 14, 2010"	"2010/03/14"	53.400	45.100
	"Mar 15, 2010"	"2010/03/15"	50.100	44.100
	"Mar 16, 2010"	"2010/03/16"	58.300	41.600
	"Mar 17, 2010"	"2010/03/17"	62.900	36.600
	"Mar 18, 2010"	"2010/03/18"	66.200	37.700
	"Mar 19, 2010"	"2010/03/19"	68.000	38.800
	"Mar 20, 2010"	"2010/03/20"	70.200	42.500
	"Mar 21, 2010"	"2010/03/21"	71.200	46.500
	"Mar 22, 2010"	"2010/03/22"	62.500	52.500
	"Mar 23, 2010"	"2010/03/23"	54.600	43.500
	"Mar 24, 2010"	"2010/03/24"	62.800	39.600
	"Mar 25, 2010"	"2010/03/25"	69.800	44.400
	"Mar 26, 2010"	"2010/03/26"	54.000	33.000
	"Mar 27, 2010"	"2010/03/27"	47.800	29.600
	"Mar 28, 2010"	"2010/03/28"	55.800	30.600
	"Mar 29, 2010"	"2010/03/29"	58.500	50.300
	"Mar 30, 2010"	"2010/03/30"	54.200	42.700
	"Mar 31, 2010"	"2010/03/31"	65.700	39.800
	"Apr 01, 2010"	"2010/04/01"	70.100	43.800
	"Apr 02, 2010"	"2010/04/02"	69.500	44.000
	"Apr 03, 2010"	"2010/04/03"	70.900	45.200
	"Apr 04, 2010"	"2010/04/04"	72.400	52.700
	"Apr 05, 2010"	"2010/04/05"	79.100	50.400
	"Apr 06, 2010"	"2010/04/06"	85.200	59.300
	"Apr 07, 2010"	"2010/04/07"	85.300	59.400
	"Apr 08, 2010"	"2010/04/08"	81.100	57.700
	"Apr 09, 2010"	"2010/04/09"	57.700	43.400
	"Apr 10, 2010"	"2010/04/10"	60.800	41.500
	"Apr 11, 2010"	"2010/04/11"	73.500	41.600
	"Apr 12, 2010"	"2010/04/12"	67.200	48.900
	"Apr 13, 2010"	"2010/04/13"	53.800	43.800
	"Apr 14, 2010"	"2010/04/14"	59.800	39.200
	"Apr 15, 2010"	"2010/04/15"	73.000	40.800
	"Apr 16, 2010"	"2010/04/16"	80.400	50.400
	"Apr 17, 2010"	"2010/04/17"	63.800	42.700
	"Apr 18, 2010"	"2010/04/18"	54.400	40.700
	"Apr 19, 2010"	"2010/04/19"	60.700	43.300
	"Apr 20, 2010"	"2010/04/20"	66.400	43.200
	"Apr 21, 2010"	"2010/04/21"	62.100	46.500
	"Apr 22, 2010"	"2010/04/22"	70.200	45.200
	"Apr 23, 2010"	"2010/04/23"	69.300	49.000
	"Apr 24, 2010"	"2010/04/24"	58.900	49.200
	"Apr 25, 2010"	"2010/04/25"	75.900	50.700
	"Apr 26, 2010"	"2010/04/26"	66.100	53.100
	"Apr 27, 2010"	"2010/04/27"	61.200	41.600
	"Apr 28, 2010"	"2010/04/28"	56.600	36.500
	"Apr 29, 2010"	"2010/04/29"	66.600	37.500
	"Apr 30, 2010"	"2010/04/30"	78.900	48.600
	"May 01, 2010"	"2010/05/01"	86.300	55.600
	"May 02, 2010"	"2010/05/02"	88.400	67.200
	"May 03, 2010"	"2010/05/03"	83.800	67.800
	"May 04, 2010"	"2010/05/04"	79.500	60.200
	"May 05, 2010"	"2010/05/05"	79.000	57.400
	"May 06, 2010"	"2010/05/06"	79.800	53.300
	"May 07, 2010"	"2010/05/07"	74.000	48.200
	"May 08, 2010"	"2010/05/08"	72.900	47.100
	"May 09, 2010"	"2010/05/09"	56.000	39.400
	"May 10, 2010"	"2010/05/10"	59.800	34.800
	"May 11, 2010"	"2010/05/11"	54.700	38.700
	"May 12, 2010"	"2010/05/12"	77.500	50.300
	"May 13, 2010"	"2010/05/13"	60.300	54.500
	"May 14, 2010"	"2010/05/14"	84.400	54.600
	"May 15, 2010"	"2010/05/15"	73.400	55.000
	"May 16, 2010"	"2010/05/16"	67.600	54.000
	"May 17, 2010"	"2010/05/17"	58.500	50.800
	"May 18, 2010"	"2010/05/18"	60.900	48.800
	"May 19, 2010"	"2010/05/19"	62.300	51.000
	"May 20, 2010"	"2010/05/20"	77.800	53.200
	"May 21, 2010"	"2010/05/21"	81.200	55.300
	"May 22, 2010"	"2010/05/22"	74.700	57.500
	"May 23, 2010"	"2010/05/23"	73.700	62.700
	"May 24, 2010"	"2010/05/24"	74.000	61.400
	"May 25, 2010"	"2010/05/25"	79.700	62.000
	"May 26, 2010"	"2010/05/26"	86.000	59.400
	"May 27, 2010"	"2010/05/27"	87.500	67.500
	"May 28, 2010"	"2010/05/28"	78.500	63.400
	"May 29, 2010"	"2010/05/29"	81.900	62.100
	"May 30, 2010"	"2010/05/30"	86.200	70.100
	"May 31, 2010"	"2010/05/31"	87.800	67.700
	"Jun 01, 2010"	"2010/06/01"	83.300	69.700
	"Jun 02, 2010"	"2010/06/02"	86.600	66.300
	"Jun 03, 2010"	"2010/06/03"	87.900	70.200
	"Jun 04, 2010"	"2010/06/04"	87.300	67.400
	"Jun 05, 2010"	"2010/06/05"	89.100	73.000
	"Jun 06, 2010"	"2010/06/06"	88.800	62.000
	"Jun 07, 2010"	"2010/06/07"	74.200	57.100
	"Jun 08, 2010"	"2010/06/08"	73.500	53.500
	"Jun 09, 2010"	"2010/06/09"	76.300	57.700
	"Jun 10, 2010"	"2010/06/10"	84.600	63.700
	"Jun 11, 2010"	"2010/06/11"	81.700	59.700
	"Jun 12, 2010"	"2010/06/12"	90.100	62.600
	"Jun 13, 2010"	"2010/06/13"	89.600	72.600
	"Jun 14, 2010"	"2010/06/14"	87.500	71.700
	"Jun 15, 2010"	"2010/06/15"	76.700	69.400
	"Jun 16, 2010"	"2010/06/16"	86.500	68.200
	"Jun 17, 2010"	"2010/06/17"	80.000	67.300
	"Jun 18, 2010"	"2010/06/18"	78.400	65.400
	"Jun 19, 2010"	"2010/06/19"	89.500	64.100
	"Jun 20, 2010"	"2010/06/20"	91.000	71.700
	"Jun 21, 2010"	"2010/06/21"	89.700	67.000
	"Jun 22, 2010"	"2010/06/22"	91.400	70.500
	"Jun 23, 2010"	"2010/06/23"	93.000	71.500
	"Jun 24, 2010"	"2010/06/24"	95.300	71.900
	"Jun 25, 2010"	"2010/06/25"	89.200	68.600
	"Jun 26, 2010"	"2010/06/26"	92.100	68.200
	"Jun 27, 2010"	"2010/06/27"	96.800	69.300
	"Jun 28, 2010"	"2010/06/28"	96.100	74.500
	"Jun 29, 2010"	"2010/06/29"	88.100	71.600
	"Jun 30, 2010"	"2010/06/30"	79.100	64.700
	"Jul 01, 2010"	"2010/07/01"	77.600	58.000
	"Jul 02, 2010"	"2010/07/02"	79.300	57.000
	"Jul 03, 2010"	"2010/07/03"	85.600	55.800
	"Jul 04, 2010"	"2010/07/04"	91.700	58.000
	"Jul 05, 2010"	"2010/07/05"	97.800	64.600
	"Jul 06, 2010"	"2010/07/06"	98.900	71.900
	"Jul 07, 2010"	"2010/07/07"	99.200	72.000
	"Jul 08, 2010"	"2010/07/08"	95.300	74.800
	"Jul 09, 2010"	"2010/07/09"	90.900	73.200
	"Jul 10, 2010"	"2010/07/10"	84.200	71.400
	"Jul 11, 2010"	"2010/07/11"	89.500	67.500
	"Jul 12, 2010"	"2010/07/12"	90.900	68.300
	"Jul 13, 2010"	"2010/07/13"	88.800	73.700
	"Jul 14, 2010"	"2010/07/14"	86.200	74.000
	"Jul 15, 2010"	"2010/07/15"	90.600	72.200
	"Jul 16, 2010"	"2010/07/16"	95.400	73.600
	"Jul 17, 2010"	"2010/07/17"	93.300	73.100
	"Jul 18, 2010"	"2010/07/18"	93.800	70.300
	"Jul 19, 2010"	"2010/07/19"	93.200	74.100
	"Jul 20, 2010"	"2010/07/20"	92.300	73.300
	"Jul 21, 2010"	"2010/07/21"	92.800	72.900
	"Jul 22, 2010"	"2010/07/22"	95.500	71.400
	"Jul 23, 2010"	"2010/07/23"	100.300	72.800
	"Jul 24, 2010"	"2010/07/24"	102.200	77.300
	"Jul 25, 2010"	"2010/07/25"	100.400	73.800
	"Jul 26, 2010"	"2010/07/26"	86.900	70.100
	"Jul 27, 2010"	"2010/07/27"	89.400	67.300
	"Jul 28, 2010"	"2010/07/28"	94.800	71.400
	"Jul 29, 2010"	"2010/07/29"	94.400	76.600
	"Jul 30, 2010"	"2010/07/30"	85.000	68.800
	"Jul 31, 2010"	"2010/07/31"	82.500	65.500
	"Aug 01, 2010"	"2010/08/01"	79.700	63.500
	"Aug 02, 2010"	"2010/08/02"	83.600	68.300
	"Aug 03, 2010"	"2010/08/03"	88.000	70.400
	"Aug 04, 2010"	"2010/08/04"	91.100	74.600
	"Aug 05, 2010"	"2010/08/05"	96.300	75.300
	"Aug 06, 2010"	"2010/08/06"	91.600	68.200
	"Aug 07, 2010"	"2010/08/07"	88.300	64.500
	"Aug 08, 2010"	"2010/08/08"	90.400	67.700
	"Aug 09, 2010"	"2010/08/09"	94.500	71.600
	"Aug 10, 2010"	"2010/08/10"	98.500	72.100
	"Aug 11, 2010"	"2010/08/11"	98.400	72.900
	"Aug 12, 2010"	"2010/08/12"	88.700	72.400
	"Aug 13, 2010"	"2010/08/13"	80.300	67.800
	"Aug 14, 2010"	"2010/08/14"	81.400	69.100
	"Aug 15, 2010"	"2010/08/15"	77.900	70.800
	"Aug 16, 2010"	"2010/08/16"	93.800	72.900
	"Aug 17, 2010"	"2010/08/17"	90.800	76.700
	"Aug 18, 2010"	"2010/08/18"	77.200	71.200
	"Aug 19, 2010"	"2010/08/19"	87.500	69.900
	"Aug 20, 2010"	"2010/08/20"	91.300	68.200
	"Aug 21, 2010"	"2010/08/21"	90.300	70.500
	"Aug 22, 2010"	"2010/08/22"	86.600	71.800
	"Aug 23, 2010"	"2010/08/23"	84.600	67.100
	"Aug 24, 2010"	"2010/08/24"	70.300	64.100
	"Aug 25, 2010"	"2010/08/25"	82.000	63.200
	"Aug 26, 2010"	"2010/08/26"	87.400	65.200
	"Aug 27, 2010"	"2010/08/27"	82.100	59.200
	"Aug 28, 2010"	"2010/08/28"	85.500	62.900
	"Aug 29, 2010"	"2010/08/29"	94.300	64.500
	"Aug 30, 2010"	"2010/08/30"	95.100	67.900
	"Aug 31, 2010"	"2010/08/31"	95.900	68.500
	"Sep 01, 2010"	"2010/09/01"	96.100	69.500
	"Sep 02, 2010"	"2010/09/02"	96.300	67.700
	"Sep 03, 2010"	"2010/09/03"	97.000	70.300
	"Sep 04, 2010"	"2010/09/04"	79.800	56.100
	"Sep 05, 2010"	"2010/09/05"	79.000	53.000
	"Sep 06, 2010"	"2010/09/06"	86.900	56.400
	"Sep 07, 2010"	"2010/09/07"	93.300	60.900
	"Sep 08, 2010"	"2010/09/08"	91.400	60.900
	"Sep 09, 2010"	"2010/09/09"	79.000	54.400
	"Sep 10, 2010"	"2010/09/10"	75.300	55.000
	"Sep 11, 2010"	"2010/09/11"	79.600	57.300
	"Sep 12, 2010"	"2010/09/12"	73.600	58.500
	"Sep 13, 2010"	"2010/09/13"	84.800	59.700
	"Sep 14, 2010"	"2010/09/14"	82.500	60.400
	"Sep 15, 2010"	"2010/09/15"	83.300	58.700
	"Sep 16, 2010"	"2010/09/16"	89.500	59.000
	"Sep 17, 2010"	"2010/09/17"	81.400	59.300
	"Sep 18, 2010"	"2010/09/18"	78.300	54.200
	"Sep 19, 2010"	"2010/09/19"	86.800	57.400
	"Sep 20, 2010"	"2010/09/20"	79.500	54.300
	"Sep 21, 2010"	"2010/09/21"	82.600	50.100
	"Sep 22, 2010"	"2010/09/22"	95.100	61.000
	"Sep 23, 2010"	"2010/09/23"	93.100	70.100
	"Sep 24, 2010"	"2010/09/24"	97.200	66.600
	"Sep 25, 2010"	"2010/09/25"	91.400	65.000
	"Sep 26, 2010"	"2010/09/26"	75.400	60.200
	"Sep 27, 2010"	"2010/09/27"	74.800	62.700
	"Sep 28, 2010"	"2010/09/28"	83.300	67.000
	"Sep 29, 2010"	"2010/09/29"	69.500	61.800
	"Sep 30, 2010"	"2010/09/30"	74.100	64.000
	"Oct 01, 2010"	"2010/10/01"	70.000	53.700
	"Oct 02, 2010"	"2010/10/02"	68.000	49.800
	"Oct 03, 2010"	"2010/10/03"	67.300	49.600
	"Oct 04, 2010"	"2010/10/04"	54.800	43.400
	"Oct 05, 2010"	"2010/10/05"	57.500	47.500
	"Oct 06, 2010"	"2010/10/06"	60.000	48.500
	"Oct 07, 2010"	"2010/10/07"	73.000	48.200
	"Oct 08, 2010"	"2010/10/08"	72.900	47.400
	"Oct 09, 2010"	"2010/10/09"	78.400	49.500
	"Oct 10, 2010"	"2010/10/10"	77.700	53.200
	"Oct 11, 2010"	"2010/10/11"	83.700	59.500
	"Oct 12, 2010"	"2010/10/12"	80.300	57.600
	"Oct 13, 2010"	"2010/10/13"	67.200	49.900
	"Oct 14, 2010"	"2010/10/14"	60.800	48.300
	"Oct 15, 2010"	"2010/10/15"	63.000	44.700
	"Oct 16, 2010"	"2010/10/16"	63.500	44.200
	"Oct 17, 2010"	"2010/10/17"	72.900	41.900
	"Oct 18, 2010"	"2010/10/18"	66.200	46.300
	"Oct 19, 2010"	"2010/10/19"	65.300	50.700
	"Oct 20, 2010"	"2010/10/20"	60.500	46.700
	"Oct 21, 2010"	"2010/10/21"	66.200	44.300
	"Oct 22, 2010"	"2010/10/22"	56.400	41.800
	"Oct 23, 2010"	"2010/10/23"	67.600	37.200
	"Oct 24, 2010"	"2010/10/24"	75.100	53.100
	"Oct 25, 2010"	"2010/10/25"	77.100	51.200
	"Oct 26, 2010"	"2010/10/26"	76.200	58.900
	"Oct 27, 2010"	"2010/10/27"	75.800	65.400
	"Oct 28, 2010"	"2010/10/28"	74.900	49.600
	"Oct 29, 2010"	"2010/10/29"	55.700	40.600
	"Oct 30, 2010"	"2010/10/30"	58.900	35.000
	"Oct 31, 2010"	"2010/10/31"	62.200	40.700
	"Nov 01, 2010"	"2010/11/01"	49.800	35.400
	"Nov 02, 2010"	"2010/11/02"	49.500	30.100
	"Nov 03, 2010"	"2010/11/03"	56.100	33.300
	"Nov 04, 2010"	"2010/11/04"	51.800	46.100
	"Nov 05, 2010"	"2010/11/05"	54.400	41.200
	"Nov 06, 2010"	"2010/11/06"	50.500	35.200
	"Nov 07, 2010"	"2010/11/07"	49.400	35.800
	"Nov 08, 2010"	"2010/11/08"	56.900	32.100
	"Nov 09, 2010"	"2010/11/09"	58.700	36.200
	"Nov 10, 2010"	"2010/11/10"	59.600	42.200
	"Nov 11, 2010"	"2010/11/11"	55.600	37.400
	"Nov 12, 2010"	"2010/11/12"	57.100	31.000
	"Nov 13, 2010"	"2010/11/13"	58.400	31.900
	"Nov 14, 2010"	"2010/11/14"	58.000	35.100
	"Nov 15, 2010"	"2010/11/15"	59.900	41.200
	"Nov 16, 2010"	"2010/11/16"	58.400	49.700
	"Nov 17, 2010"	"2010/11/17"	58.600	41.700
	"Nov 18, 2010"	"2010/11/18"	56.100	37.100
	"Nov 19, 2010"	"2010/11/19"	49.800	35.900
	"Nov 20, 2010"	"2010/11/20"	58.700	34.300
	"Nov 21, 2010"	"2010/11/21"	55.900	36.800
	"Nov 22, 2010"	"2010/11/22"	64.400	46.000
	"Nov 23, 2010"	"2010/11/23"	70.600	46.600
	"Nov 24, 2010"	"2010/11/24"	49.000	35.200
	"Nov 25, 2010"	"2010/11/25"	51.500	41.000
	"Nov 26, 2010"	"2010/11/26"	56.500	34.800
	"Nov 27, 2010"	"2010/11/27"	42.400	29.100
	"Nov 28, 2010"	"2010/11/28"	43.600	29.600
	"Nov 29, 2010"	"2010/11/29"	46.900	29.200
	"Nov 30, 2010"	"2010/11/30"	58.000	41.900
	"Dec 01, 2010"	"2010/12/01"	63.200	33.000
	"Dec 02, 2010"	"2010/12/02"	40.400	32.100
	"Dec 03, 2010"	"2010/12/03"	40.500	33.600
	"Dec 04, 2010"	"2010/12/04"	38.400	29.200
	"Dec 05, 2010"	"2010/12/05"	36.800	28.500
	"Dec 06, 2010"	"2010/12/06"	34.100	26.200
	"Dec 07, 2010"	"2010/12/07"	32.300	22.600
	"Dec 08, 2010"	"2010/12/08"	32.100	20.100
	"Dec 09, 2010"	"2010/12/09"	32.200	20.000
	"Dec 10, 2010"	"2010/12/10"	35.600	23.300
	"Dec 11, 2010"	"2010/12/11"	41.300	26.800
	"Dec 12, 2010"	"2010/12/12"	49.100	36.100
	"Dec 13, 2010"	"2010/12/13"	38.200	21.900
	"Dec 14, 2010"	"2010/12/14"	27.500	21.500
	"Dec 15, 2010"	"2010/12/15"	30.300	19.600
	"Dec 16, 2010"	"2010/12/16"	25.200	16.500
	"Dec 17, 2010"	"2010/12/17"	32.600	19.400
	"Dec 18, 2010"	"2010/12/18"	32.000	27.100
	"Dec 19, 2010"	"2010/12/19"	32.300	23.300
	"Dec 20, 2010"	"2010/12/20"	34.000	23.200
	"Dec 21, 2010"	"2010/12/21"	34.900	25.500
	"Dec 22, 2010"	"2010/12/22"	33.600	25.600
	"Dec 23, 2010"	"2010/12/23"	36.000	26.600
	"Dec 24, 2010"	"2010/12/24"	35.700	24.600
	"Dec 25, 2010"	"2010/12/25"	30.400	26.500
	"Dec 26, 2010"	"2010/12/26"	29.300	23.600
	"Dec 27, 2010"	"2010/12/27"	29.900	21.400
	"Dec 28, 2010"	"2010/12/28"	33.900	21.800
	"Dec 29, 2010"	"2010/12/29"	36.600	23.900
	"Dec 30, 2010"	"2010/12/30"	38.900	25.400
	"Dec 31, 2010"	"2010/12/31"	43.700	28.100
	"Jan 01, 2011"	"2011/01/01"	51.500	31.600
	"Jan 02, 2011"	"2011/01/02"	46.600	29.000
	"Jan 03, 2011"	"2011/01/03"	37.200	27.000
	"Jan 04, 2011"	"2011/01/04"	40.000	23.500
	"Jan 05, 2011"	"2011/01/05"	35.100	26.000
	"Jan 06, 2011"	"2011/01/06"	34.200	24.600
	"Jan 07, 2011"	"2011/01/07"	33.200	26.700
	"Jan 08, 2011"	"2011/01/08"	30.800	20.500
	"Jan 09, 2011"	"2011/01/09"	31.800	17.700
	"Jan 10, 2011"	"2011/01/10"	32.400	17.700
	"Jan 11, 2011"	"2011/01/11"	29.300	24.100
	"Jan 12, 2011"	"2011/01/12"	29.900	24.000
	"Jan 13, 2011"	"2011/01/13"	31.000	21.700
	"Jan 14, 2011"	"2011/01/14"	31.600	22.900
	"Jan 15, 2011"	"2011/01/15"	35.800	26.100
	"Jan 16, 2011"	"2011/01/16"	36.600	28.900
	"Jan 17, 2011"	"2011/01/17"	32.600	28.400
	"Jan 18, 2011"	"2011/01/18"	35.500	28.300
	"Jan 19, 2011"	"2011/01/19"	40.700	30.800
	"Jan 20, 2011"	"2011/01/20"	38.500	32.000
	"Jan 21, 2011"	"2011/01/21"	34.600	18.200
	"Jan 22, 2011"	"2011/01/22"	24.900	16.300
	"Jan 23, 2011"	"2011/01/23"	25.300	15.200
	"Jan 24, 2011"	"2011/01/24"	26.000	14.400
	"Jan 25, 2011"	"2011/01/25"	40.700	24.600
	"Jan 26, 2011"	"2011/01/26"	33.500	30.000
	"Jan 27, 2011"	"2011/01/27"	33.400	26.000
	"Jan 28, 2011"	"2011/01/28"	33.200	27.100
	"Jan 29, 2011"	"2011/01/29"	33.300	28.500
	"Jan 30, 2011"	"2011/01/30"	36.300	27.200
	"Jan 31, 2011"	"2011/01/31"	31.000	24.400
	"Feb 01, 2011"	"2011/02/01"	37.700	28.500
	"Feb 02, 2011"	"2011/02/02"	50.900	29.500
	"Feb 03, 2011"	"2011/02/03"	33.300	24.900
	"Feb 04, 2011"	"2011/02/04"	40.700	24.700
	"Feb 05, 2011"	"2011/02/05"	40.000	29.000
	"Feb 06, 2011"	"2011/02/06"	45.700	29.000
	"Feb 07, 2011"	"2011/02/07"	47.900	29.800
	"Feb 08, 2011"	"2011/02/08"	36.900	23.400
	"Feb 09, 2011"	"2011/02/09"	35.800	21.800
	"Feb 10, 2011"	"2011/02/10"	32.000	22.500
	"Feb 11, 2011"	"2011/02/11"	42.000	20.800
	"Feb 12, 2011"	"2011/02/12"	43.100	24.100
	"Feb 13, 2011"	"2011/02/13"	52.700	28.100
	"Feb 14, 2011"	"2011/02/14"	59.900	33.600
	"Feb 15, 2011"	"2011/02/15"	43.300	28.400
	"Feb 16, 2011"	"2011/02/16"	53.600	29.200
	"Feb 17, 2011"	"2011/02/17"	67.500	39.000
	"Feb 18, 2011"	"2011/02/18"	70.300	46.500
	"Feb 19, 2011"	"2011/02/19"	50.000	30.400
	"Feb 20, 2011"	"2011/02/20"	48.300	27.400
	"Feb 21, 2011"	"2011/02/21"	47.300	30.400
	"Feb 22, 2011"	"2011/02/22"	31.400	23.600
	"Feb 23, 2011"	"2011/02/23"	39.800	21.500
	"Feb 24, 2011"	"2011/02/24"	46.800	29.200
	"Feb 25, 2011"	"2011/02/25"	63.800	31.500
	"Feb 26, 2011"	"2011/02/26"	43.700	30.800
	"Feb 27, 2011"	"2011/02/27"	57.600	32.200
	"Feb 28, 2011"	"2011/02/28"	70.300	43.200
	"Mar 01, 2011"	"2011/03/01"	47.300	31.000
	"Mar 02, 2011"	"2011/03/02"	56.500	30.500
	"Mar 03, 2011"	"2011/03/03"	38.000	26.700
	"Mar 04, 2011"	"2011/03/04"	45.400	28.100
	"Mar 05, 2011"	"2011/03/05"	62.800	37.400
	"Mar 06, 2011"	"2011/03/06"	61.100	40.000
	"Mar 07, 2011"	"2011/03/07"	47.800	30.900
	"Mar 08, 2011"	"2011/03/08"	49.000	31.900
	"Mar 09, 2011"	"2011/03/09"	50.100	33.000
	"Mar 10, 2011"	"2011/03/10"	56.400	44.900
	"Mar 11, 2011"	"2011/03/11"	51.900	41.300
	"Mar 12, 2011"	"2011/03/12"	59.500	35.500
	"Mar 13, 2011"	"2011/03/13"	56.000	38.900
	"Mar 14, 2011"	"2011/03/14"	47.100	37.300
	"Mar 15, 2011"	"2011/03/15"	49.100	36.100
	"Mar 16, 2011"	"2011/03/16"	61.200	41.100
	"Mar 17, 2011"	"2011/03/17"	62.800	42.500
	"Mar 18, 2011"	"2011/03/18"	75.500	44.000
	"Mar 19, 2011"	"2011/03/19"	59.100	39.800
	"Mar 20, 2011"	"2011/03/20"	48.800	37.800
	"Mar 21, 2011"	"2011/03/21"	73.200	40.400
	"Mar 22, 2011"	"2011/03/22"	61.300	48.900
	"Mar 23, 2011"	"2011/03/23"	60.000	44.200
	"Mar 24, 2011"	"2011/03/24"	45.200	38.300
	"Mar 25, 2011"	"2011/03/25"	47.100	35.600
	"Mar 26, 2011"	"2011/03/26"	43.900	33.500
	"Mar 27, 2011"	"2011/03/27"	43.600	31.400
	"Mar 28, 2011"	"2011/03/28"	44.400	29.000
	"Mar 29, 2011"	"2011/03/29"	49.200	28.000
	"Mar 30, 2011"	"2011/03/30"	46.800	34.900
	"Mar 31, 2011"	"2011/03/31"	47.100	38.900
	"Apr 01, 2011"	"2011/04/01"	47.400	37.200
	"Apr 02, 2011"	"2011/04/02"	53.500	35.300
	"Apr 03, 2011"	"2011/04/03"	57.900	35.400
	"Apr 04, 2011"	"2011/04/04"	79.700	42.900
	"Apr 05, 2011"	"2011/04/05"	62.200	40.100
	"Apr 06, 2011"	"2011/04/06"	61.000	38.700
	"Apr 07, 2011"	"2011/04/07"	65.300	41.000
	"Apr 08, 2011"	"2011/04/08"	50.500	43.300
	"Apr 09, 2011"	"2011/04/09"	57.100	42.900
